Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Vref_Deltas,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vref_pu_t,Vref_pu_v
,,s52513_VrefSteps_012,u5%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0359634080176536,1.0462500000000001,-0.7,750.0,350.0,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,1.1623403969793829,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_012""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0463""],[""Qpoc [.pu]"",""-0.7""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""u5%""]]",2500.0,5.0,1.1623403969793829,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[1.0359634080176536, 1.0859634080176537, 1.0859634080176537]"
,,s52513_VrefSteps_013,u5%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0359634080176536,1.0462500000000001,-0.7,0.0,-350.0,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,1.1914585220877603,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_013""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0463""],[""Qpoc [.pu]"",""-0.7""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""u5%""]]",2500.0,5.0,1.1914585220877603,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[1.0359634080176536, 1.0859634080176537, 1.0859634080176537]"
,,s52513_VrefSteps_014,d1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.039695131403352,1.025,1.0,1100.0,0.0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,0.8778935257994813,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_014""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",3000.0,5.0,0.8778935257994813,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[1.039695131403352, 1.029695131403352, 1.029695131403352]"
,,s52513_VrefSteps_015,d1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.039695131403352,1.025,1.0,750.0,350.0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,0.8778935257994813,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_015""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",3000.0,5.0,0.8778935257994813,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[1.039695131403352, 1.029695131403352, 1.029695131403352]"
,,s52513_VrefSteps_016,d1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.039695131403352,1.025,1.0,0.0,-350.0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,0.9193829817152368,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_016""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",3000.0,5.0,0.9193829817152368,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[1.039695131403352, 1.029695131403352, 1.029695131403352]"
,,s52513_VrefSteps_017,d1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0375,1.0375,0.0,1100.0,0.0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,1.0283428232692884,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_017""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",3000.0,5.0,1.0283428232692884,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0275, 1.0275]"
,,s52513_VrefSteps_018,d1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0375,1.0375,0.0,750.0,350.0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,1.0283428232692884,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_018""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",3000.0,5.0,1.0283428232692884,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0275, 1.0275]"
,,s52513_VrefSteps_019,d1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0375,1.0375,0.0,0.0,-350.0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,1.0652753817073033,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_019""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",3000.0,5.0,1.0652753817073033,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0275, 1.0275]"
,,s52513_VrefSteps_020,d1%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.039695131403352,1.025,1.0,1100.0,0.0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,0.8661496116496742,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_020""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",2500.0,5.0,0.8661496116496742,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[1.039695131403352, 1.029695131403352, 1.029695131403352]"
,,s52513_VrefSteps_021,d1%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.039695131403352,1.025,1.0,750.0,350.0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,0.8661496116496742,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_021""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",2500.0,5.0,0.8661496116496742,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[1.039695131403352, 1.029695131403352, 1.029695131403352]"
