Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Delta_Vpoc,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vpoc_disturbance_pu_t,Vpoc_disturbance_pu_v,Vpoc_disturbance_pu_r
,,s52513_VgridSteps_012,d5%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0359634080176536,1.0462500000000001,-0.6999999999999982,750.0,350.0,"[0, 0.5, 10.5]","[0, -0.05, 0]",CSR_S52513,1.1623403969793829,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_012""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0463""],[""Qpoc [.pu]"",""-0.6999999999999982""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""d5%""]]",2500.0,5.0,1.0359634080176536,1.1623403969793829,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.04778972520908004, -0.04778972520908004]","[false, false, false]"
,,s52513_VgridSteps_013,d5%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0359634080176536,1.0462500000000001,-0.6999999999999982,0.0,-350.0,"[0, 0.5, 10.5]","[0, -0.05, 0]",CSR_S52513,1.1914585220877603,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_013""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0463""],[""Qpoc [.pu]"",""-0.6999999999999982""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""d5%""]]",2500.0,5.0,1.0359634080176536,1.1914585220877603,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.04778972520908004, -0.04778972520908004]","[false, false, false]"
,,s52513_VgridSteps_014,u1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.039695131403352,1.025,0.9999999999999952,1100.0,0.0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,0.8778935257994813,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_014""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""0.9999999999999952""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",3000.0,5.0,1.039695131403352,0.8778935257994813,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009756097560975611, 0.009756097560975611]","[false, false, false]"
,,s52513_VgridSteps_015,u1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.039695131403352,1.025,0.9999999999999952,750.0,350.0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,0.8778935257994813,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_015""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""0.9999999999999952""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",3000.0,5.0,1.039695131403352,0.8778935257994813,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009756097560975611, 0.009756097560975611]","[false, false, false]"
,,s52513_VgridSteps_016,u1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.039695131403352,1.025,0.9999999999999952,0.0,-350.0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,0.9193829817152368,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_016""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""0.9999999999999952""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",3000.0,5.0,1.039695131403352,0.9193829817152368,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009756097560975611, 0.009756097560975611]","[false, false, false]"
,,s52513_VgridSteps_017,u1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0375,1.0375,0.0,1100.0,0.0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,1.0283428232692884,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_017""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",3000.0,5.0,1.0375,1.0283428232692884,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009638554216867469, 0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_018,u1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0375,1.0375,0.0,750.0,350.0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,1.0283428232692884,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_018""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",3000.0,5.0,1.0375,1.0283428232692884,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009638554216867469, 0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_019,u1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0375,1.0375,0.0,0.0,-350.0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,1.0652753817073033,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_019""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",3000.0,5.0,1.0375,1.0652753817073033,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009638554216867469, 0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_020,u1%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.039695131403352,1.025,0.9999999999999952,1100.0,0.0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,0.8661496116496742,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_020""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""0.9999999999999952""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",2500.0,5.0,1.039695131403352,0.8661496116496742,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009756097560975611, 0.009756097560975611]","[false, false, false]"
,,s52513_VgridSteps_021,u1%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.039695131403352,1.025,0.9999999999999952,750.0,350.0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,0.8661496116496742,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_021""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""0.9999999999999952""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",2500.0,5.0,1.039695131403352,0.8661496116496742,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009756097560975611, 0.009756097560975611]","[false, false, false]"
