Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Grid_hz,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Grid_Hz_t,Grid_Hz_v,Grid_Hz_r
,,s52511_GridHz_002,Fdroop[0.5hz],Droop,,3000.0,5.0,1.0381585394210056,1.03375,0.3,1100.0,0.0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,0.9834550193448953,,"[[""Filename/Int. Ref."",""s52511_GridHz_002""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""Fdroop[0.5hz]""]]",3000.0,5.0,1.0381585394210056,0.9834550193448953,1100.0,0.0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_003,Fdroop[0.5hz],Droop,,3000.0,5.0,1.0381585394210056,1.03375,0.3,750.0,350.0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,0.9834550193448953,,"[[""Filename/Int. Ref."",""s52511_GridHz_003""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""Fdroop[0.5hz]""]]",3000.0,5.0,1.0381585394210056,0.9834550193448953,750.0,350.0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_004,Fdroop[0.5hz],Droop,,3000.0,5.0,1.0381585394210056,1.03375,0.3,110.0,-350.0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.011217459805089,,"[[""Filename/Int. Ref."",""s52511_GridHz_004""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""110.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""Fdroop[0.5hz]""]]",3000.0,5.0,1.0381585394210056,1.011217459805089,110.0,-350.0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_005,Fdroop[0.5hz],Droop,,3000.0,5.0,1.0381585394210056,1.03375,0.3,550.0,0.0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,0.9719754378195188,,"[[""Filename/Int. Ref."",""s52511_GridHz_005""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""550.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""Fdroop[0.5hz]""]]",3000.0,5.0,1.0381585394210056,0.9719754378195188,550.0,0.0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_006,Fdroop[0.5hz],Droop,,3000.0,5.0,1.0375,1.0375,0.0,1100.0,0.0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.0283428232692884,,"[[""Filename/Int. Ref."",""s52511_GridHz_006""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""Fdroop[0.5hz]""]]",3000.0,5.0,1.0375,1.0283428232692884,1100.0,0.0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_007,Fdroop[0.5hz],Droop,,3000.0,5.0,1.0375,1.0375,0.0,750.0,350.0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.0283428232692884,,"[[""Filename/Int. Ref."",""s52511_GridHz_007""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""Fdroop[0.5hz]""]]",3000.0,5.0,1.0375,1.0283428232692884,750.0,350.0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_008,Fdroop[0.5hz],Droop,,3000.0,5.0,1.0375,1.0375,0.0,110.0,-350.0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.0553343272040216,,"[[""Filename/Int. Ref."",""s52511_GridHz_008""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""110.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""Fdroop[0.5hz]""]]",3000.0,5.0,1.0375,1.0553343272040216,110.0,-350.0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_009,Fdroop[0.5hz],Droop,,3000.0,5.0,1.0375,1.0375,0.0,550.0,0.0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.0177044282437946,,"[[""Filename/Int. Ref."",""s52511_GridHz_009""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""550.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""Fdroop[0.5hz]""]]",3000.0,5.0,1.0375,1.0177044282437946,550.0,0.0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_010,Fdroop[0.5hz],Droop,,3000.0,5.0,1.0368414605789944,1.04125,-0.3,1100.0,0.0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.0730051213830294,,"[[""Filename/Int. Ref."",""s52511_GridHz_010""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""Fdroop[0.5hz]""]]",3000.0,5.0,1.0368414605789944,1.0730051213830294,1100.0,0.0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_011,Fdroop[0.5hz],Droop,,3000.0,5.0,1.0368414605789944,1.04125,-0.3,750.0,350.0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.0730051213830294,,"[[""Filename/Int. Ref."",""s52511_GridHz_011""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""Fdroop[0.5hz]""]]",3000.0,5.0,1.0368414605789944,1.0730051213830294,750.0,350.0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
