Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Grid_hz,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Grid_Hz_t,Grid_Hz_v,Grid_Hz_r
,,s5258_GridHz_002,52.5Hz,Droop,,-1,-1,1.0381585394210056,1.03375,0.3,1100.0,0.0,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1072.1722866973003,,"[[""Filename/Int. Ref."",""s5258_GridHz_002""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""52.5Hz""]]",-1,-1,1.0381585394210056,1072.1722866973003,1100.0,0.0,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_003,52.5Hz,Droop,,-1,-1,1.0381585394210056,1.03375,0.3,750.0,350.0,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1072.1722866973003,,"[[""Filename/Int. Ref."",""s5258_GridHz_003""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""52.5Hz""]]",-1,-1,1.0381585394210056,1072.1722866973003,750.0,350.0,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_004,52.5Hz,Droop,,-1,-1,1.0381585394210056,1.03375,0.3,0.0,-350.0,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,360.35164747724093,,"[[""Filename/Int. Ref."",""s5258_GridHz_004""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""52.5Hz""]]",-1,-1,1.0381585394210056,360.35164747724093,0.0,-350.0,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_005,52.5Hz,Droop,,-1,-1,1.0375,1.0375,0.0,1100.0,0.0,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1060.9748407770726,,"[[""Filename/Int. Ref."",""s5258_GridHz_005""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""52.5Hz""]]",-1,-1,1.0375,1060.9748407770726,1100.0,0.0,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_006,52.5Hz,Droop,,-1,-1,1.0375,1.0375,0.0,750.0,350.0,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1060.9748407770726,,"[[""Filename/Int. Ref."",""s5258_GridHz_006""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""52.5Hz""]]",-1,-1,1.0375,1060.9748407770726,750.0,350.0,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_007,52.5Hz,Droop,,-1,-1,1.0375,1.0375,0.0,0.0,-350.0,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,336.6165737363494,,"[[""Filename/Int. Ref."",""s5258_GridHz_007""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""52.5Hz""]]",-1,-1,1.0375,336.6165737363494,0.0,-350.0,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_008,52.5Hz,Droop,,-1,-1,1.0368414605789944,1.04125,-0.3,1100.0,0.0,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1064.6319831002932,,"[[""Filename/Int. Ref."",""s5258_GridHz_008""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""52.5Hz""]]",-1,-1,1.0368414605789944,1064.6319831002932,1100.0,0.0,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_009,52.5Hz,Droop,,-1,-1,1.0368414605789944,1.04125,-0.3,750.0,350.0,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1064.6319831002932,,"[[""Filename/Int. Ref."",""s5258_GridHz_009""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""52.5Hz""]]",-1,-1,1.0368414605789944,1064.6319831002932,750.0,350.0,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_010,52.5Hz,Droop,,-1,-1,1.0368414605789944,1.04125,-0.3,0.0,-350.0,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,358.25741645180136,,"[[""Filename/Int. Ref."",""s5258_GridHz_010""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""52.5Hz""]]",-1,-1,1.0368414605789944,358.25741645180136,0.0,-350.0,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_011,47.5Hz,Droop,,-1,-1,1.0381585394210056,1.03375,0.3,1100.0,0.0,"[0, 1, 1.25, 1.75, 10]","[50, 50, 49, 47.5, 47.5]",CSR_S5258,1072.1722866973003,,"[[""Filename/Int. Ref."",""s5258_GridHz_011""],[""Fault Level [MVA]"",""-1""],[""X2R"",""-1""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""47.5Hz""]]",-1,-1,1.0381585394210056,1072.1722866973003,1100.0,0.0,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 49, 47.5, 47.5]","[true, true, true, true, true]"
