Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Delta_Vpoc,DIR,Vslack_pu,Commands>,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vpoc_disturbance_pu_t,Vpoc_disturbance_pu_v,Vpoc_disturbance_pu_r
,,s52513_VgridSteps_013,d5%,Droop,PPOC_VPOC_VREF,1500,10,1.0359634080176536,1.0462500000000001,-0.6999999999999982,0,-350,"[0, 0.5, 10.5]","[0, -0.05, 0]",CSR_S52513,1.2927679792975195,,1500,10,1.0462500000000001,-0.6999999999999982,1,1.0359634080176536,1.2927679792975195,0,-350,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.04778972520908004, -0.04778972520908004]","[false, false, false]"
,,s52513_VgridSteps_014,u1%,Droop,PPOC_VPOC_VREF,2528,10,1.039695131403352,1.025,0.9999999999999952,1226,0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,0.9169971458773769,,2528,10,1.025,0.9999999999999952,1,1.039695131403352,0.9169971458773769,1226,0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009756097560975611, 0.009756097560975611]","[false, false, false]"
,,s52513_VgridSteps_015,u1%,Droop,PPOC_VPOC_VREF,2528,10,1.039695131403352,1.025,0.9999999999999952,876,350,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,0.9169971458773769,,2528,10,1.025,0.9999999999999952,1,1.039695131403352,0.9169971458773769,876,350,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009756097560975611, 0.009756097560975611]","[false, false, false]"
,,s52513_VgridSteps_016,u1%,Droop,PPOC_VPOC_VREF,2528,10,1.039695131403352,1.025,0.9999999999999952,0,-350,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,0.8713964646301905,,2528,10,1.025,0.9999999999999952,1,1.039695131403352,0.8713964646301905,0,-350,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009756097560975611, 0.009756097560975611]","[false, false, false]"
,,s52513_VgridSteps_017,u1%,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,1226,0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0375,1.0947116114018198,1226,0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009638554216867469, 0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_018,u1%,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,876,350,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0375,1.0947116114018198,876,350,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009638554216867469, 0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_019,u1%,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,0,-350,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,1.0591347025123146,,2528,10,1.0375,0.0,1,1.0375,1.0591347025123146,0,-350,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009638554216867469, 0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_020,u1%,Droop,PPOC_VPOC_VREF,1500,10,1.039695131403352,1.025,0.9999999999999952,1226,0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,0.9968470982130413,,1500,10,1.025,0.9999999999999952,1,1.039695131403352,0.9968470982130413,1226,0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009756097560975611, 0.009756097560975611]","[false, false, false]"
,,s52513_VgridSteps_021,u1%,Droop,PPOC_VPOC_VREF,1500,10,1.039695131403352,1.025,0.9999999999999952,876,350,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,0.9968470982130413,,1500,10,1.025,0.9999999999999952,1,1.039695131403352,0.9968470982130413,876,350,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009756097560975611, 0.009756097560975611]","[false, false, false]"
,,s52513_VgridSteps_022,u1%,Droop,PPOC_VPOC_VREF,1500,10,1.039695131403352,1.025,0.9999999999999952,0,-350,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,0.7866202755893374,,1500,10,1.025,0.9999999999999952,1,1.039695131403352,0.7866202755893374,0,-350,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009756097560975611, 0.009756097560975611]","[false, false, false]"
,,s52513_VgridSteps_023,u1%,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,1226,0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,1.2386951830136483,,1500,10,1.0375,0.0,1,1.0375,1.2386951830136483,1226,0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009638554216867469, 0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_024,u1%,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,876,350,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,1.2386951830136483,,1500,10,1.0375,0.0,1,1.0375,1.2386951830136483,876,350,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009638554216867469, 0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_025,u1%,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,0,-350,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,1.0832456546112046,,1500,10,1.0375,0.0,1,1.0375,1.0832456546112046,0,-350,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009638554216867469, 0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_026,d1%,Droop,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-0.9999999999999952,1226,0,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.273050583566357,,2528,10,1.05,-0.9999999999999952,1,1.035304868596648,1.273050583566357,1226,0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009523809523809523, -0.009523809523809523]","[false, false, false]"
,,s52513_VgridSteps_027,d1%,Droop,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-0.9999999999999952,876,350,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.273050583566357,,2528,10,1.05,-0.9999999999999952,1,1.035304868596648,1.273050583566357,876,350,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009523809523809523, -0.009523809523809523]","[false, false, false]"
,,s52513_VgridSteps_028,d1%,Droop,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-0.9999999999999952,0,-350,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.2445001130787745,,2528,10,1.05,-0.9999999999999952,1,1.035304868596648,1.2445001130787745,0,-350,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009523809523809523, -0.009523809523809523]","[false, false, false]"
,,s52513_VgridSteps_029,d1%,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,1226,0,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0375,1.0947116114018198,1226,0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009638554216867469, -0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_030,d1%,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,876,350,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0375,1.0947116114018198,876,350,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009638554216867469, -0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_031,d1%,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,0,-350,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.0591347025123146,,2528,10,1.0375,0.0,1,1.0375,1.0591347025123146,0,-350,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009638554216867469, -0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_032,d1%,Droop,PPOC_VPOC_VREF,1500,10,1.035304868596648,1.05,-0.9999999999999952,1226,0,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.5027899700654626,,1500,10,1.05,-0.9999999999999952,1,1.035304868596648,1.5027899700654626,1226,0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009523809523809523, -0.009523809523809523]","[false, false, false]"
,,s52513_VgridSteps_033,d1%,Droop,PPOC_VPOC_VREF,1500,10,1.035304868596648,1.05,-0.9999999999999952,876,350,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.5027899700654626,,1500,10,1.05,-0.9999999999999952,1,1.035304868596648,1.5027899700654626,876,350,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009523809523809523, -0.009523809523809523]","[false, false, false]"
,,s52513_VgridSteps_034,d1%,Droop,PPOC_VPOC_VREF,1500,10,1.035304868596648,1.05,-0.9999999999999952,0,-350,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.3823619506837046,,1500,10,1.05,-0.9999999999999952,1,1.035304868596648,1.3823619506837046,0,-350,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009523809523809523, -0.009523809523809523]","[false, false, false]"
,,s52513_VgridSteps_035,d1%,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,1226,0,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.2386951830136483,,1500,10,1.0375,0.0,1,1.0375,1.2386951830136483,1226,0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009638554216867469, -0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_036,d1%,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,876,350,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.2386951830136483,,1500,10,1.0375,0.0,1,1.0375,1.2386951830136483,876,350,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009638554216867469, -0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_037,d1%,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,0,-350,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.0832456546112046,,1500,10,1.0375,0.0,1,1.0375,1.0832456546112046,0,-350,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009638554216867469, -0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_038,No-Windup[u.wc],Droop,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-0.9999999999999952,1226,0,"[0, 0.5, 5.5, 10.5]","[0, 0.05, -0.1, 0]",CSR_S52513,1.273050583566357,,2528,10,1.05,-0.9999999999999952,1,1.035304868596648,1.273050583566357,1226,0,0,10.5,"[0, 0.5, 5.5, 10.5]","[0.0, 0.047619047619047616, -0.047619047619047616, -0.047619047619047616]","[false, false, false, false]"
,,s52513_VgridSteps_039,No-Windup[d.wc],Droop,PPOC_VPOC_VREF,2528,10,1.039695131403352,1.025,0.9999999999999952,1226,0,"[0, 0.5, 5.5, 10.5]","[0, -0.05, 0.1, 0]",CSR_S52513,0.9169971458773769,,2528,10,1.025,0.9999999999999952,1,1.039695131403352,0.9169971458773769,1226,0,0,10.5,"[0, 0.5, 5.5, 10.5]","[0.0, -0.04878048780487806, 0.04878048780487806, 0.04878048780487806]","[false, false, false, false]"
,,s52513_VgridSteps_040,Sat(u5%),Droop,PPOC_VPOC_VREF,2528,10,1.0353,1.044024882,-0.5937260280646152,1226,0,"[0, 0.5, 10.5]","[0, 0.05, 0]",CSR_S52513,1.2001191162132177,,2528,10,1.044024882,-0.5937260280646152,1,1.0353,1.2001191162132177,1226,0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.04789157889054985, 0.04789157889054985]","[false, false, false]"
,,s52513_VgridSteps_041,Sat(u5%),Droop,PPOC_VPOC_VREF,2528,10,1.0353,1.044024882,-0.5937260280646152,876,350,"[0, 0.5, 10.5]","[0, 0.05, 0]",CSR_S52513,1.2001191162132177,,2528,10,1.044024882,-0.5937260280646152,1,1.0353,1.2001191162132177,876,350,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.04789157889054985, 0.04789157889054985]","[false, false, false]"
