Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Grid_hz,DIR,Vslack_pu,Commands>,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Grid_Hz_t,Grid_Hz_v,Grid_Hz_r
,,s5258_GridHz_002,52.5Hz,Droop,,-1,-1,1.0381585394210056,1.03375,0.3,1226,0,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1.03375,,-1,-1,1.03375,0.3,1,1.0381585394210056,1.03375,1226,0,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_003,52.5Hz,Droop,,-1,-1,1.0381585394210056,1.03375,0.3,876,350,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1.03375,,-1,-1,1.03375,0.3,1,1.0381585394210056,1.03375,876,350,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_004,52.5Hz,Droop,,-1,-1,1.0381585394210056,1.03375,0.3,0,-350,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1.03375,,-1,-1,1.03375,0.3,1,1.0381585394210056,1.03375,0,-350,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_005,52.5Hz,Droop,,-1,-1,1.0375,1.0375,0.0,1226,0,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1.0375,,-1,-1,1.0375,0.0,1,1.0375,1.0375,1226,0,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_006,52.5Hz,Droop,,-1,-1,1.0375,1.0375,0.0,876,350,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1.0375,,-1,-1,1.0375,0.0,1,1.0375,1.0375,876,350,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_007,52.5Hz,Droop,,-1,-1,1.0375,1.0375,0.0,0,-350,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1.0375,,-1,-1,1.0375,0.0,1,1.0375,1.0375,0,-350,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_008,52.5Hz,Droop,,-1,-1,1.0368414605789944,1.04125,-0.3,1226,0,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1.04125,,-1,-1,1.04125,-0.3,1,1.0368414605789944,1.04125,1226,0,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_009,52.5Hz,Droop,,-1,-1,1.0368414605789944,1.04125,-0.3,876,350,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1.04125,,-1,-1,1.04125,-0.3,1,1.0368414605789944,1.04125,876,350,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_010,52.5Hz,Droop,,-1,-1,1.0368414605789944,1.04125,-0.3,0,-350,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]",CSR_S5258,1.04125,,-1,-1,1.04125,-0.3,1,1.0368414605789944,1.04125,0,-350,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 51, 52.5, 52.5]","[true, true, true, true, true]"
,,s5258_GridHz_011,47.5Hz,Droop,,-1,-1,1.0381585394210056,1.03375,0.3,1226,0,"[0, 1, 1.25, 1.75, 10]","[50, 50, 49, 47.5, 47.5]",CSR_S5258,1.03375,,-1,-1,1.03375,0.3,1,1.0381585394210056,1.03375,1226,0,1,10,"[0, 1, 1.25, 1.75, 10]","[50, 50, 49, 47.5, 47.5]","[true, true, true, true, true]"
