Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Post_Init_Duration,DIR,Vslack_pu,Commands>,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s
,,s5251_FlatRun_024,Flatrun,Droop,,1500,10,1.0375,1.0375,0.0,876,350,10,CSR_S5251,1.2386951830136483,,1500,10,1.0375,0.0,1,1.0375,1.2386951830136483,876,350,0,10
,,s5251_FlatRun_025,Flatrun,Droop,,1500,10,1.0375,1.0375,0.0,0,-350,10,CSR_S5251,1.0832456546112046,,1500,10,1.0375,0.0,1,1.0375,1.0832456546112046,0,-350,0,10
,,s5251_FlatRun_026,Flatrun,Droop,,1500,10,1.0381585394210056,1.03375,0.3,1226,0,10,CSR_S5251,1.1628890111051973,,1500,10,1.03375,0.3,1,1.0381585394210056,1.1628890111051973,1226,0,0,10
,,s5251_FlatRun_027,Flatrun,Droop,,1500,10,1.0381585394210056,1.03375,0.3,876,350,10,CSR_S5251,1.1628890111051973,,1500,10,1.03375,0.3,1,1.0381585394210056,1.1628890111051973,876,350,0,10
,,s5251_FlatRun_028,Flatrun,Droop,,1500,10,1.0381585394210056,1.03375,0.3,0,-350,10,CSR_S5251,0.99359099174573,,1500,10,1.03375,0.3,1,1.0381585394210056,0.99359099174573,0,-350,0,10
,,s5251_FlatRun_029,Flatrun,Droop,,1500,10,1.039695131403352,1.025,1.0,1226,0,10,CSR_S5251,0.9968470982130413,,1500,10,1.025,1.0,1,1.039695131403352,0.9968470982130413,1226,0,0,10
,,s5251_FlatRun_030,Flatrun,Droop,,1500,10,1.039695131403352,1.025,1.0,876,350,10,CSR_S5251,0.9968470982130413,,1500,10,1.025,1.0,1,1.039695131403352,0.9968470982130413,876,350,0,10
,,s5251_FlatRun_031,Flatrun,Droop,,1500,10,1.039695131403352,1.025,1.0,0,-350,10,CSR_S5251,0.7866202755893374,,1500,10,1.025,1.0,1,1.039695131403352,0.7866202755893374,0,-350,0,10
,,s5251_FlatRun_032,Flatrun,Droop,,-1,-1,1.035304868596648,1.05,-1.0,1226,0,10,CSR_S5251,1.05,,-1,-1,1.05,-1.0,1,1.035304868596648,1.05,1226,0,1,10
,,s5251_FlatRun_033,Flatrun,Droop,,-1,-1,1.035304868596648,1.05,-1.0,876,350,10,CSR_S5251,1.05,,-1,-1,1.05,-1.0,1,1.035304868596648,1.05,876,350,1,10
