Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Grid_hz,DIR,Vslack_pu,Commands>,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Grid_Hz_t,Grid_Hz_v,Grid_Hz_r
,,s52511_GridHz_002,Fdroop[0.5hz],Droop,,2528,10,1.0381585394210056,1.03375,0.3,1226.0,0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.0412149100929873,,2528,10,1.03375,0.3,1,1.0381585394210056,1.0412149100929873,1226.0,0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_003,Fdroop[0.5hz],Droop,,2528,10,1.0381585394210056,1.03375,0.3,876.0,350,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.0412149100929873,,2528,10,1.03375,0.3,1,1.0381585394210056,1.0412149100929873,876.0,350,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_004,Fdroop[0.5hz],Droop,,2528,10,1.0381585394210056,1.03375,0.3,122.60000000000001,-350,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,0.9929884543243673,,2528,10,1.03375,0.3,1,1.0381585394210056,0.9929884543243673,122.60000000000001,-350,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_005,Fdroop[0.5hz],Droop,,2528,10,1.0381585394210056,1.03375,0.3,613.0,0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,0.9835237032765316,,2528,10,1.03375,0.3,1,1.0381585394210056,0.9835237032765316,613.0,0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_006,Fdroop[0.5hz],Droop,,2528,10,1.0375,1.0375,0.0,1226.0,0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0375,1.0947116114018198,1226.0,0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_007,Fdroop[0.5hz],Droop,,2528,10,1.0375,1.0375,0.0,876.0,350,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0375,1.0947116114018198,876.0,350,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_008,Fdroop[0.5hz],Droop,,2528,10,1.0375,1.0375,0.0,122.60000000000001,-350,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.0496783207603981,,2528,10,1.0375,0.0,1,1.0375,1.0496783207603981,122.60000000000001,-350,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_009,Fdroop[0.5hz],Droop,,2528,10,1.0375,1.0375,0.0,613.0,0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.0405647447890178,,2528,10,1.0375,0.0,1,1.0375,1.0405647447890178,613.0,0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_010,Fdroop[0.5hz],Droop,,2528,10,1.0368414605789944,1.04125,-0.3,1226.0,0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.148252649894332,,2528,10,1.04125,-0.3,1,1.0368414605789944,1.148252649894332,1226.0,0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_011,Fdroop[0.5hz],Droop,,2528,10,1.0368414605789944,1.04125,-0.3,876.0,350,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.148252649894332,,2528,10,1.04125,-0.3,1,1.0368414605789944,1.148252649894332,876.0,350,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_012,Fdroop[0.5hz],Droop,,2528,10,1.0368414605789944,1.04125,-0.3,122.60000000000001,-350,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.1060886754886046,,2528,10,1.04125,-0.3,1,1.0368414605789944,1.1060886754886046,122.60000000000001,-350,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_013,Fdroop[0.5hz],Droop,,2528,10,1.0368414605789944,1.04125,-0.3,613.0,0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.0972893275109443,,2528,10,1.04125,-0.3,1,1.0368414605789944,1.0972893275109443,613.0,0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
,,s52511_GridHz_014,Fdroop[0.5hz],Droop,,1500,10,1.0381585394210056,1.03375,0.3,1226.0,0,"[0, 1, 13.0]","[50, 50.5, 50.5]",CSR_S52511,1.1628890111051973,,1500,10,1.03375,0.3,1,1.0381585394210056,1.1628890111051973,1226.0,0,0,13.0,"[0, 1, 13.0]","[50, 50.5, 50.5]","[true, true, true]"
