Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Vref_Deltas,DIR,Vslack_pu,Commands>,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vref_pu_t,Vref_pu_v
,,s52513_VrefSteps_017,d1%,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,1226,0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0947116114018198,1226,0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0275, 1.0275]"
,,s52513_VrefSteps_018,d1%,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,876,350,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0947116114018198,876,350,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0275, 1.0275]"
,,s52513_VrefSteps_019,d1%,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,0,-350,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,1.0591347025123146,,2528,10,1.0375,0.0,1,1.0591347025123146,0,-350,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0275, 1.0275]"
,,s52513_VrefSteps_020,d1%,Droop,PPOC_VPOC_VREF,1500,10,1.039695131403352,1.025,1.0,1226,0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,0.9968470982130413,,1500,10,1.025,1.0,1,0.9968470982130413,1226,0,0,10.5,"[0, 0.5, 10.5]","[1.039695131403352, 1.029695131403352, 1.029695131403352]"
,,s52513_VrefSteps_021,d1%,Droop,PPOC_VPOC_VREF,1500,10,1.039695131403352,1.025,1.0,876,350,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,0.9968470982130413,,1500,10,1.025,1.0,1,0.9968470982130413,876,350,0,10.5,"[0, 0.5, 10.5]","[1.039695131403352, 1.029695131403352, 1.029695131403352]"
,,s52513_VrefSteps_022,d1%,Droop,PPOC_VPOC_VREF,1500,10,1.039695131403352,1.025,1.0,0,-350,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,0.7866202755893374,,1500,10,1.025,1.0,1,0.7866202755893374,0,-350,0,10.5,"[0, 0.5, 10.5]","[1.039695131403352, 1.029695131403352, 1.029695131403352]"
,,s52513_VrefSteps_023,d1%,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,1226,0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,1.2386951830136483,,1500,10,1.0375,0.0,1,1.2386951830136483,1226,0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0275, 1.0275]"
,,s52513_VrefSteps_024,d1%,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,876,350,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,1.2386951830136483,,1500,10,1.0375,0.0,1,1.2386951830136483,876,350,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0275, 1.0275]"
,,s52513_VrefSteps_025,d1%,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,0,-350,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,1.0832456546112046,,1500,10,1.0375,0.0,1,1.0832456546112046,0,-350,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0275, 1.0275]"
,,s52513_VrefSteps_026,u1%,Droop,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-1.0,1226,0,"[0.5, 10.5]","[0.01, 0]",CSR_S52513,1.273050583566357,,2528,10,1.05,-1.0,1,1.273050583566357,1226,0,0,10.5,"[0, 0.5, 10.5]","[1.035304868596648, 1.045304868596648, 1.045304868596648]"
